registro,
001,"Attivo: 0 off, 1 on modalità temp. aria, 2 on modalità temperatura H2O"
002,"Modo funzionamento: 1 auto, 2 freddo, 3 caldo"
003,
004,"Temperatura aria impostata su pannnello x 2 (es. 35=17,5°C)"
005,
006,
007,
008,
009,
010,
011,
012,Temperatura acqua impostata su pannello (°C)
013,
014,
015,
016,
017,
018,
019,
020,
021,
022,
023,
024,
025,
026,
027,
028,
029,
030,
031,
032,
033,
034,
035,
036,
037,
038,
039,
040,
041,
042,
043,
044,
045,
046,
047,
048,
049,
050,
051,
052,
053,
054,
055,
056,
057,
058,
059,
060,
061,
062,
063,
064,
065,
066,
067,
068,
069,
070,
071,
072,
073,
074,
075,
076,
077,
078,
079,
080,
081,
082,
083,
084,
085,
086,
087,
088,
089,
090,
091,
092,
093,
094,
095,
096,
097,
098,
099,
100,
101,
102,
103,Velocità ventilatore (rpm)
104,Apertura valvola espansione
105,TW_0 Temp.Acqua IN SP (°C)
106,TW_0 Temp.Acqua OT SP (°C)
107,??? TEMPERATURA
108,T4 Temp. Aria Esterna (°C)
109,Tp Temp. Scarico compr. (°C)
110,Temp. Aspiraz. compr. (°C)
111,??? TEMPERATURA
112,
113,T2 Temp. Refr. Uscita SP (°C)
114,T2 Temp. Refr. In SP (°C)
115,??TEMPERATURA AMBIENTE??
116,
117,P1 Pressione compr. (kPa)
118,
119,Corrente Compress. (A)
120,Tensione alimentazione (V)
121,
122,
123,Tem. At. Tot. Comp (Hrs)
124,
125,
126,
127,
128,
129,
130,"Pompa di circolazione attiva 72, Compressore attivo 8264, in standby 0"
131,
132,
133,
134,Alim. Generatore CC.(A)
135,
136,TF temp modulo (°C)
137,"255 modalità temperatura aria, 18 modalità temperatura H2O"
138,
139,Flusso acqua (m3/h)
140,
141,Capacità pompa di calore (kW*10)
142,
143,
144,
145,Consumo di energia (kWh)
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,??TEMP AMBIENTE??
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
